customer_id,name,age,country,purchase_amount,age_group,email_hashed
57,Customer_57,62,UK,4654,Senior,563dc4a678505a84f5df8c00b79549638abd47d2f5ab6bdbb8e0f3b33a6c21b1
58,Customer_58,34,India,2064,Adult,3a26a3c7382be6a89cecbdb158834aa7a0d3e5b30143ecb00a076d30fefa6234
59,Customer_59,64,UK,3794,Senior,54ba0f07bc7deee34e9dbe4a60b47ede925e07e8b18b26153f24bf5524808e4d
60,Customer_60,51,India,4237,Senior,b44335f92d412f1de74d6b343710e2bb27d92875813f2f20f5a70bdb326478c9
61,Customer_61,27,India,2175,Young,13f13713b901607125792ab2b0d34356b54e391d20e37c88266765f7a2ed0161
62,Customer_62,57,UK,1207,Senior,d256ff8c57e9af8102c09c782d4be4a11bf8d9312f96b3badd66e23044768db9
63,Customer_63,62,UK,2927,Senior,fd7ebfa226d6dbed19e081cb2c363ec214fb9aa03fa4022f4cdacb0c55b2fbfc
64,Customer_64,52,USA,3643,Senior,9e08d5ff1d98838358ead220f97af5453be7ceb97c6ce14f73a22447850de497
65,Customer_65,51,USA,4607,Senior,39a727a1a4cc1e99ba0d8d4c955bce0d78b1667100ef7d18d084b2593f56469a
66,Customer_66,42,India,4532,Adult,3754f85a5b91064345440a18b8eee03bc5ae1fc24540c656310e30c3933a4d19
67,Customer_67,21,India,266,Young,fc5b97686625e2b80011d28e74b4dba91c14d918d44e74f01710643e888f8f20
68,Customer_68,53,UK,2597,Senior,aa0d24e8e94aaccdc6c6ab73d5c718760b4d87969817cb58a03272214d37198c
69,Customer_69,62,India,2162,Senior,5beb7f0290ea1770ff162b6659e31e0bac5c3d36a1b1254c7f4d494c8e2e30b5
70,Customer_70,20,India,4419,Young,5f439b51ba9baca115bdb203eebc2213ff026097eef7ff6163068772cabf2639
71,Customer_71,29,USA,3199,Young,0fd75315ce3209f23ceb61310af44dcdda6ce1ec8a8babf753a2d75fa42b8792
72,Customer_72,64,UK,952,Senior,9409addd72168a95d4a3552f5d6f746acacc22f6256108f68a72a6914985d292
73,Customer_73,38,India,2637,Adult,a2374a024bcc06479e528fd316c14d9bef2461b756a2b65ac8c455d81327a263
74,Customer_74,45,UK,3453,Adult,ead1510f159006abcdf9013d65459b611ae02a9cf404aa286a91585906b27b88
75,Customer_75,40,UK,1593,Adult,f7d9ae236e6cf24a94ea70f86e765e2ec5be45dfb626782066e99ee927081257
76,Customer_76,48,USA,2464,Adult,2f132bdca13913c768d7a359233728257871a35b3a278db5ee1fe883a7ddf1bd
77,Customer_77,35,India,1073,Adult,ad717b9456cfa1c09f5daa9d1e129b625c3efe901f2420d566890b7c283a0a2d
78,Customer_78,50,India,945,Senior,2d4ce016ffed605f00462447aa6b8d3229ee6742fef04f4fdb51bb120ab84470
79,Customer_79,57,India,4424,Senior,fc843f4b78e0ec16cfd39f423a02aa6dddfc4222c3b07b8c55fcf6dbfb3aaef8
80,Customer_80,41,UK,4535,Adult,90d137436d20d47f773c074e079a318f6603344ad372cf22742545ff0db671c2
81,Customer_81,52,India,4475,Senior,fc7ab015c6990cdaa1ac21d6e53c45dab1cd2ad09905432ec67ae4c7f30bf5e4
82,Customer_82,70,USA,4978,Senior,67cbb04f0e018a2d5360daceb34f2590e21479b25c3d6b601bf8066044ee03cb
83,Customer_83,68,USA,2796,Senior,9942e3cbe8759ee5fe5fb915a98f6fb7842777a492f9eda5498b002dafb89d21
84,Customer_84,64,UK,4401,Senior,282550640dc6eecc48a2b0fa7501f748e19e99e4de16e64519813e6f7fbf1305
85,Customer_85,36,India,2029,Adult,75790266b4a09a9645e6100882e4e5f6e86d8c6acaa417f1fc924f62e1138ab0
86,Customer_86,56,USA,2264,Senior,e83480bc6adc0ae887d7beda7fa678c354e45311882d9c586dcadfaddfdce579
87,Customer_87,68,USA,4983,Senior,b767f30b2f913e0987638c92b970346e9601ff8c081e59257d563d77e7828249
88,Customer_88,60,India,1071,Senior,a264d1075bbeb835500d3b788ec2efcd5bbcf21f786092bc4e3196aa7079f4f9
89,Customer_89,69,UK,3962,Senior,411583ee62aa26acdd18adacef5ca6ca90e399222ef7da7c535680e65b2de30d
90,Customer_90,28,India,3085,Young,eda89c7d2e6b0b7603378bcd7b4bc36498778566eec77ea7f9f7a5ab788a90a8
91,Customer_91,20,USA,388,Young,d723946517f250cefaf0bd16c6a0139a255f3b7e988fb28cac6ad74405b2d692
92,Customer_92,19,India,1879,Young,75f7a3f6ff91c60c6246313e4b86c07c6d8df69b1725041a5bb64200a2dcc2c7
93,Customer_93,37,USA,4547,Adult,e7bdd15c8e802ac72ab17f39ee776e55b5133e2831bdf9b60b04c7a933dcbc9d
94,Customer_94,65,USA,781,Senior,507d1e2313ff880740cd0ef287224d1c830cfd12a01e3d7b567de021aad90ab4
95,Customer_95,70,USA,2064,Senior,249324555664794fa6d59b500538c3829431a7025f74b4fa9120ab49dd0b531f
96,Customer_96,45,USA,2637,Adult,9b7948ac2d15e5dbebccf831804fc8f294cab8f9178ccd18c3d97843a9ab5213
97,Customer_97,37,India,4642,Adult,78773ed3610357c4e152300fa145ec8aab6c9ff724787ff4523921b92e4c9be7
98,Customer_98,21,USA,4749,Young,5cf5e1402601151941e1a557c50d5e48536e8b0659252df167629041ee0688c0
99,Customer_99,26,India,1087,Young,eb3acea34468daa275e0a938ce98c3ff6a0c59794b177649def1080ecf5c90c3
100,Customer_100,56,USA,2344,Senior,22958993b7923986d69a82eeca8b98261bf394a140de16e3a13fa7d863dd9fbc
101,Customer_101,53,India,4746,Senior,8c4839e082857dbb3ea3c182d66d58519f9a5bd6c14a4182c9059bbf7e1e5aa9
102,Customer_102,33,UK,825,Adult,362905f95ec025d4405b6bbd893ad425b29dd856405c1bb223d9287e092ee561
103,Customer_103,43,UK,2596,Adult,2a18c2e43ed90b496a53d7297158a5b27755e23e47c265eba2c90b1f29d266a4
104,Customer_104,38,UK,3564,Adult,8808281e63f53307f99d5966ec6eb9edc49c628cc188add1adb42d191598e098
105,Customer_105,70,USA,2512,Senior,311f842a971aa6acc57399ac5b9bdd63d3e35ca20d66d21df8dd33e9d8a4a461
106,Customer_106,44,UK,4523,Adult,bb9a646abeb576d661c44f4d4e10482a1de59247ec78e2faf48668b114ad4c2b
107,Customer_107,54,USA,3779,Senior,5f701ece59269897b207d9c2b41bb3d4c7cba85e07300db0d0783b2dd247a9f8
108,Customer_108,69,USA,3053,Senior,1d256681bacc2f9b2098dd224bfc1a3867181793ad02086af69b5811ad3e3b8d
109,Customer_109,41,UK,4100,Adult,54945b771418d92ac7dd3a0e25ddb6f23cc80408e35963537531f143be71d401
110,Customer_110,31,India,4192,Adult,454606db1b90f764a886c378a5d816b4211ecfd35a8abfcee4330d90a79856cc
111,Customer_111,40,India,693,Adult,1813505d5d4ed723188a48f84d8d8979fa880fefb8be83994cd384191fdf8132
112,Customer_112,50,USA,2481,Senior,ee7874f8aad6fb99554892dc7fefd23b9810849579eb15877b75157d6edf9cb6
113,Customer_113,18,UK,2695,Young,a19ceb550270ffa70d69be6c7d0dcffa20aa35b36a1438c3ad0c2127f943e87e
114,Customer_114,28,UK,4840,Young,da309fce5428639828aa0a4fc2f0321028aa0167626a12265c5646f292f15d3a
115,Customer_115,48,USA,2646,Adult,dd48796ac10187df496f5a9a4935e4eca552adbc6d50a66c0497581d5029b5df
116,Customer_116,21,India,3397,Young,fc803583e03a32af03b5fec6356ff3c0d9d7fbc1055583ccce538244c151cabc
117,Customer_117,31,USA,4819,Adult,b39070ed2149ede75a2d8a3abfa28de421a9bbde304d2ecd40780fb475622ea7
118,Customer_118,62,USA,3458,Senior,af1c5dd765873c96cba8c8e449d573b4318bfa8efb51aebc5ef34b1648b09931
119,Customer_119,64,UK,696,Senior,f1a01049b784f54e06a5ba1c01c544b9171d7718ef171dd59d7804ede28b060c
120,Customer_120,35,India,259,Adult,f95cfa38b7b74c788c408a8a157ccf494af6d4dfac008649e61a46ccc2c647c8
121,Customer_121,61,India,4220,Senior,ceae8c9bb118a8e030ba2f4beeba68e1d6b52d726bf6d2243f4a3210f2cc47a0
122,Customer_122,59,India,4989,Senior,2313338fb10bc9938f818d553c99b15b6091d05742de9db02ebb815c3e536a5c
123,Customer_123,22,India,1106,Young,9eb9cd3826c08b248f34a6d19d4d4b96e5fff01823ee0f418afe947a9b849fdc
124,Customer_124,62,India,4253,Senior,2539edff23e1431c1167baf671a73412ee2daed46640d8fe1ea50925ca80764f
125,Customer_125,59,USA,4460,Senior,96fdf34165205aabc9d0beb3982a6006873315192c0a365533a2cea2378f07a9
126,Customer_126,31,UK,397,Adult,b4a3c08ad37248b2f2d71b078146e63707074bc69d3879e791024c44e6dae27f
127,Customer_127,62,USA,4466,Senior,006f1f35d2b74d43b3a15a9f12ef78d1e0e47c3522775e952ed60fa2b6d7771a
128,Customer_128,39,USA,2127,Adult,43fc484a0deb665fba798dc71af2027bcb7a8744c59193d26c5e662ae3a8ce30
129,Customer_129,28,UK,3560,Young,25a7f031b991664b86ea9bcd1fc4f61cdb712ed4ff7657c752c990b3ccebdbe9
130,Customer_130,35,USA,2780,Adult,1f7ac256781ebc7e199c802eb06addd9eae9ca4fe5e94da6448058aecbf29b58
131,Customer_131,66,India,3415,Senior,51a46020307f9c5db97bc7314ef2cdadc48bd92736088747b3177ccf0393ad76
132,Customer_132,57,USA,3245,Senior,ceb3d05503fc452968f27bf325afa3d18db8222157dbad86ed4cd47eb7498382
133,Customer_133,33,UK,4630,Adult,04828a6b72ccd0a5bbe63dab07e4eb66be016e4f2a0d6c15ebfb1d472ad3f6f6
134,Customer_134,54,USA,4699,Senior,f3db7dc54429c0f3e7c63b681e14ffc0887efb5182362fad351dfd229e8280ec
135,Customer_135,43,UK,938,Adult,14b593e4a750a85db876b8871bc83d0c1ff1737baf6cd854c288ca09ecef8c73
136,Customer_136,68,UK,2923,Senior,2a050967c11d8b5f23b8c7b8d93c3559018aaef35e844a4d674a306412f44b61
137,Customer_137,34,USA,4138,Adult,72490b1a5cd6d7bccb24da1e7a06add14fb67e5d7f3d739602cfad434abdebd8
138,Customer_138,52,India,1295,Senior,dd1093ae3c349c5cb3f07a88f8a736bbe4037e6de7382bc973284201df7d770b
139,Customer_139,53,UK,1479,Senior,0e8dfe06b4cd0d319ab04f793971cdf2fdd107be07971f64bf5b3486447a0de7
140,Customer_140,63,USA,3654,Senior,db269199d5201590bd4ff8fed1c043ce2bc2f1ae9b9715e1afd72638d6728dfb
141,Customer_141,63,USA,3391,Senior,9d7ccbd19e5b285aa2f50dc22bf582579c5c2aa45b16c2ba8389021262477088
142,Customer_142,32,USA,4620,Adult,74a0afbff682c49fc7da15f15cdb0a62f4d3b37d42ae88265d30310d3fdc7deb
143,Customer_143,61,USA,999,Senior,6313c2931932f736b784d06781d7a8ee819e4a24b0f90d9baa0654924e0df0ce
144,Customer_144,23,USA,1172,Young,8a9ec2dba34d9b6f35bf6731efe0b4cd5ecb7628ea5460a1793534595c8b9c2f
145,Customer_145,54,USA,2835,Senior,4be96e457df68c07b150cf5ce166178109bd376aee301878445aa2bfb7573675
146,Customer_146,34,USA,2438,Adult,1d92b458e0812b16ecd482165d2b27007a09a903588988becb66e3641e5f4100
147,Customer_147,65,UK,4928,Senior,a52c41f7953899e8c3febb17e42be1a6e671e02bb2549923230703a4af5a9543
148,Customer_148,25,UK,4744,Young,f359e1d1bef09317a8250bb4a26e0f4b7384e9d4956806693cd1adcd9d81c1d1
149,Customer_149,40,India,4361,Adult,189a2c2bc0dab176d066dfc0b4e0755c427e1941253e1430ad2db3f417d73911
150,Customer_150,38,USA,2943,Adult,5233c547f9051ab7f1e494cd738a9ee74d3b0ec18428093dc00e34a8307463a4
151,Customer_151,38,India,4952,Adult,325b1c897e0d0088791301a15b4fd53b31c94bb65b38af21e5ba90815dac93ab
152,Customer_152,52,USA,4087,Senior,860226b9b51f597be0baf41f63c049c59b31e2f956c0a48d77767fe123cdc738
153,Customer_153,51,India,945,Senior,6fc7d8469b5bce08f2ef4044feb0efa239714913876944b39041f8a829c2046c
154,Customer_154,47,UK,852,Adult,372f15bbb50525048d2e967043a5eaa0065904f3b2ade591c5f82ae7786c2e33
155,Customer_155,29,UK,2746,Young,3cb09f3ff75802edef55d7efd26914451fb67745954574f2c28a7524c77f7ce4
156,Customer_156,56,India,3806,Senior,2210a557dc331c4c363911e31a224dc2528ce8edad93250fc6ccf3c53721660d
157,Customer_157,28,UK,1293,Young,1daaef625543246465f7732d34f4dfb336fd6013c3bdf7cf690b5b67252a7588
158,Customer_158,34,USA,4808,Adult,acb30825dd0b0975aad8761792e138e30e23fc65205b4ad541f895bbe9a934f8
159,Customer_159,33,UK,2158,Adult,62289cb7f0a02b87107ecf90470ecd1d44cfa366fb5925c75de682ebe7d172c4
160,Customer_160,41,UK,2856,Adult,1e9e4b2a02dfb9e06d1c814580ee69b5deb6349fc4db788e92af9da1c66e9578
161,Customer_161,49,USA,1483,Adult,994ed0b687c3832216ce3e6a6cdd21eac5b4ed37d0440fc561619cab3fbff231
162,Customer_162,54,India,2388,Senior,b83cf3d75fa54e50bce286b57fa450f73588fa0d43c30e249dac976ba3146822
163,Customer_163,58,India,2655,Senior,d201c6003901d1acfc7b9e3d3946552c16099c26c0009fd40cde24f5c3f5c263
164,Customer_164,27,India,141,Young,efc38c3489937684d3c40f76d9e1fb5608005611e92fbdcc821009ae060de78c
165,Customer_165,68,India,372,Senior,06bd0dcb0ab1c5db56b3701dfb6ebb47ff2f66e69e9eb16a6480ac492cf51d9f
166,Customer_166,48,UK,3814,Adult,f1a6f54011ec2b97bae12e2eca7b0a3ab723daa82c76b2e34a0962eaf3603d00
167,Customer_167,65,India,1292,Senior,05d49ade4992bb838d8e4ab757ff87b22e958832e45473e4582900ecd1b6e9da
168,Customer_168,59,UK,3913,Senior,2c5674845f2595d06d68c5f9fee5f6d7152ea0238e0da64d6a770b7690cd05ec
169,Customer_169,64,UK,4722,Senior,26620df5dc504524f2ba729f05952a805543e5d1001f324ff6581c60b76b49bf
170,Customer_170,41,USA,4078,Adult,9b19140044504fa75f9906831ea00169ec57715e4d1970f84e130e21058adfb7
171,Customer_171,27,USA,342,Young,ef3b780d6b20c53e4b2ac18deab0ffa949011ccd813c498e96c27451ddcc6ec2
172,Customer_172,31,India,4105,Adult,ef9dbfa09b0715e9b1a09e245b35b8792ef8ca55427280702cd05920db06d7e7
173,Customer_173,70,India,3729,Senior,9194ce3b88b5191c177bbcf184ea40698482c8559e330b306591f001269805f9
174,Customer_174,57,India,364,Senior,a27092d0e1feca115050f1b30651e1eadb19cba5a74be9c1354f2739d41ffd87
175,Customer_175,65,USA,3173,Senior,b468de58d975a671d4bd8eab7d744f0d7c7ffca13713bbd7b2d0599902032daf
176,Customer_176,43,India,588,Adult,21f69d189a43caf66b8e639d493f70ff8bf7c5b700ecfeedb098e195ef8bf256
177,Customer_177,69,UK,3427,Senior,88d3cec6e173f956117b3b04359015f76da2bdbeabf4fd5e1c46d32a5fcfb33b
178,Customer_178,59,USA,4458,Senior,4faf175172336d31dc8876d885601e9aee92d70f69dc739848d559fbd504b8cc
179,Customer_179,46,USA,3605,Adult,eb3f20df4a9b71040ec5d079c0b20e6667bec25de313e801019103daf527a325
180,Customer_180,64,USA,2257,Senior,c7df269aa551d560f7486321de62e1d8d45fbdcd5802d254dfc46fbd61f63e2c
181,Customer_181,65,UK,4510,Senior,737585e202a4420d159435bf61f167422a28a6ae3dc45c5c6c021c623686926a
182,Customer_182,18,UK,3080,Young,d610ce2f8407e4a4663bb5e3327799128a3fec4c3fbe8835358bb556d7ff3ba1
183,Customer_183,61,UK,2571,Senior,a23560049320959beaf067db5c4f4e1a72fa6b4dcd1fe686fccff4b8004c1b0d
184,Customer_184,63,USA,3013,Senior,df9af0aa6164b42afad0131c6e92ea629a690303157cd18e6abcdc9f7f8770d0
185,Customer_185,54,India,3839,Senior,03bc9953fd3ef3474acfe5de760a6ed001f235232f32d0bc3abc252e804b95ba
186,Customer_186,62,India,390,Senior,81efd21cb2f87343591a1c77617e0aad9cdd5dcfc1efd265bdd5287a8d8ba564
187,Customer_187,30,India,4325,Adult,cfab826aeffbb2ea21b9576fd9e22a3a1a7bc77be3334639a7f47660b9c8d7c4
188,Customer_188,30,USA,2553,Adult,294952dc6e41262e765c9a67ff1ace3cedf04123c858e532f030b8a69456dc6b
189,Customer_189,26,UK,4353,Young,145d5034744989c5c515848e8aff55bdb4b70e2f9b73ee85d89529aa40f324c8
190,Customer_190,63,USA,570,Senior,519b076461588f655eaf8df94c9c3f1046886037b9a583ca23ba9ecdcc25ac3a
191,Customer_191,40,USA,2785,Adult,47cc20b273c6be9db66ae5b051e9e54da9ac4830d0e6def32e8a4def92bec6dc
192,Customer_192,53,UK,2127,Senior,b96a8946c8900425ab3b62a9265adb09e94d91ee6ecce201b0bf315375bc3354
193,Customer_193,47,UK,4374,Adult,75885e08d1609dbef5bdaaced694fa7b4a6eda05e409ec4427724d16774d605f
194,Customer_194,29,USA,3839,Young,01499e31e06d5e24d5fe56451914c19e463d92513c172041ceeb946895c10784
195,Customer_195,18,USA,1666,Young,b1b1e6545eed00917ef706a2100a968d3a4e8b0041283447ea0638f963a77b18
196,Customer_196,22,India,3593,Young,02e322130374cbfdeb7fd2b3f8545764c87c22c7ce80f178362b756a66ced97a
197,Customer_197,63,USA,3331,Senior,842ece7e18ebff74ec127e71c40cba219e7230217b688d22e1af48f7b42c0fcf
198,Customer_198,54,USA,2567,Senior,807638ae42051c65a44ac55f4d69595bcc227de2751364c6100857441a05421a
199,Customer_199,41,India,1981,Adult,b4add5f9a01cd11d229e7af2dd9b1316b0cf06669a8ddbd5a75b8bce219aed5f
200,Customer_200,60,USA,4116,Senior,86beaa3d58584de66d47e3ae6c35d031cfbb32117ebcd0b1967154e8733256c1
201,Customer_201,28,India,4174,Young,35a94be51a08f82bb396a59ac31b99d60e5af1cc07fb38cbae83f04dd79f1f18
202,Customer_202,20,USA,3895,Young,95d9ffed6ef2520dfac52d7f9bd497a241577541e69fced4d0d7a20514d22d91
203,Customer_203,39,UK,4100,Adult,fa4fa82f6a60fc19054ea9118fd5f1942df31fe2ca4a0a4303643490a7c15ba7
204,Customer_204,63,USA,1276,Senior,4760eaaa68d727538bf8955788a40a0cfa88d97e4f0a9ac4f5402aad6ed88bc9
205,Customer_205,39,UK,850,Adult,c55ae26639960faed7185f84cf905f31d73400242fdc8cde9bd67fb7cb89ed44
206,Customer_206,41,UK,121,Adult,583cbf5a5ed30115b47549d139b96aba0fba49c99a25bb9e1c9439d546adcbad
207,Customer_207,66,USA,2386,Senior,e02cc5f6e56aba46e64c3660e7e6aed11bb68d8cecca3cd11de6e8ed16e48e6b
208,Customer_208,37,USA,149,Adult,0dae90aec55756410457fead7fc51dbebac4fb052a4a2cc53dcefc49739fdeff
209,Customer_209,50,USA,1240,Senior,82e4da04123ba2d3ad35ad8e9480e2b331c041f69225cf4364e7064f1ae33bd7
210,Customer_210,28,India,2610,Young,c884def56b8c4cfa13e6d06b3b66c6aaad170cfad4f38d45c659d38e3c01af29
211,Customer_211,34,USA,2436,Adult,0aec17d51cb62c188528405dfaac9800e0bab9132ef0d08b4e59f9ab57bed7af
212,Customer_212,48,USA,4343,Adult,d334024f83bd2a416b939d87f0177d3b0a81cc70923679a2b925fe3efb8cbca0
213,Customer_213,66,UK,3398,Senior,4793b223bc77d496a299c25005b13ef8d068e7264933de141d1bfa627b6985b7
214,Customer_214,68,India,2777,Senior,68b765bb0214658d714f929d6ba2d4ca2b75a801db54a61f6b947915aadbcc21
215,Customer_215,23,USA,2747,Young,2f987604c00913b329b07812acb52fbb401cd15b2b85d5611ffcc74f62787e24
216,Customer_216,58,India,1980,Senior,05bbfbc414b07698a56ac3eb6706d444aa7aa93d56c77e1164abbce0603d297c
217,Customer_217,64,USA,470,Senior,fc1e05d46bb505731e42292687b2d90b73a2d296013ce776d2f624af4c0721b6
218,Customer_218,65,India,2128,Senior,2f638edf4abc40533696306be4b1757b80bb05ffac790bb5b8f737860e55b575
219,Customer_219,18,India,4034,Young,f2cd34a3f3b5fea1e760ff591485fd900d2f69816f4631d22a3c8d7997f0f32f
220,Customer_220,38,UK,2712,Adult,45ae02718eacc3c88652cacdab96396615ad0b877134716a0415a0c6111be854
221,Customer_221,62,UK,717,Senior,65ecc22a7549b2d8d3d2ab85b4def3faeac9efb58fe7933b528639c5fcb87d03
222,Customer_222,55,UK,4860,Senior,edd6ed00be8797ccb17f6c5db9cb1f8bd285b97560282c47a830faaf68401334
223,Customer_223,46,India,4184,Adult,c7cbc26ca06f735a66657cf00de006c07a34caacd30cfb1dfcce493ac783f7f7
